Track URI,Track Name,Artist Name(s),Artist Genres,Danceability,Energy,Speechiness,Valence,Tempo,Mood
spotify:track:1jy0RbDHyBMTupSdc98XbG,How Can You Mend A Broken Heart,Bee Gees,"disco,mellow gold,soft rock",0.335,0.262,0.0393,0.203,68.82,Calm
spotify:track:2TjfpzoOp8Ruc23G1iZ5Kv,Love You So,Ron Holden,"Rock, Electronic",0.446,0.399,0.0519,0.56,88.805,Calm
spotify:track:2zaMZQEo0NSIl5ubSgDkqs,High Sheriff of Calhoun Parrish,Tony Joe White,"louisiana blues,swamp blues,swamp pop,swamp rock",0.691,0.234,0.0357,0.528,88.559,Calm
spotify:track:6NDeQrFQtKx6YDH3zEHaIT,He Did With Me,Vicki Lawrence,bubblegum pop,0.448,0.344,0.0788,0.4,85.159,Calm
spotify:track:0LZhlPswR8YgcJV09oQvg9,Forever,The Little Dippers,pop,0.504,0.286,0.0281,0.367,74.219,Calm
spotify:track:0DIcd7djiVGT4RYbTIlsoJ,Wasn't Expecting That,Jamie Lawson,"devon indie,indie anthem-folk",0.683,0.367,0.0625,0.339,91.008,Calm
spotify:track:1C1dPegkqX6HMoWcAY5LWA,To Sir With Love,Lulu,british invasion,0.549,0.335,0.026,0.33,97.171,Calm
spotify:track:4Hhv2vrOTy89HFRcjU3QOx,At Last,Etta James,"jazz blues,soul,soul blues,torch song,vocal jazz",0.274,0.348,0.0293,0.328,87.43,Calm
spotify:track:1VdZ0vKfR5jneCmWIUAMxK,The A Team,Ed Sheeran,"pop,singer-songwriter pop,uk pop",0.642,0.289,0.0367,0.407,84.996,Calm
spotify:track:3Rhxe6P1im82NFVkt9X2qZ,I'm Gonna Make You Love Me,"Diana Ross & The Supremes, The Temptations","classic girl group,memphis soul,motown,soul",0.635,0.393,0.0428,0.427,98.332,Calm
spotify:track:2t77hjgJY4sC9DoX5uaVUD,Don't Give Up,Peter Gabriel,"album rock,art rock,classic rock,mellow gold,new romantic,new wave,permanent wave,progressive rock,rock,singer-songwriter,soft rock",0.671,0.283,0.0508,0.331,80.806,Calm
spotify:track:1OxDEvjPoQrNhZ5c3tTxSu,"Don't Cry For Me Argentina - From ""Evita""","Julie Covington, Andrew Lloyd Webber, Tim Rice","classic uk pop,broadway,west end",0.235,0.213,0.0339,0.153,70.075,Calm
spotify:track:4a3mIp7Mrmom2SXd3S81m7,Cherish - remastered,David Cassidy,"adult standards,bubblegum pop",0.502,0.279,0.0269,0.33,97.966,Calm
spotify:track:0TwxA1UTqCXyihWqu6PMWh,Dreaming My Dreams with You,Colleen Hewett,,0.254,0.238,0.0303,0.0809,84.126,Calm
spotify:track:5TvFfDlVoUWZvfqrhTJzD7,One,Ed Sheeran,"pop,singer-songwriter pop,uk pop",0.464,0.321,0.0418,0.306,93.528,Calm
spotify:track:0gssZyDIxrn2CsokEML0xq,The Old Lamplighter,The Browns,"nashville sound,vocal harmony group",0.604,0.105,0.0357,0.553,92.238,Calm
spotify:track:1Earkwr9aBKaeNADPt3Z0J,I Love You Because,Al Martino,"adult standards,easy listening",0.336,0.0339,0.0317,0.255,88.976,Calm
spotify:track:5TM2eqdzfWPHklI7YnBmsD,Blister in the Sun - 2002 Remastered Version,Violent Femmes,"acoustic punk,alternative rock,punk",0.701,0.261,0.0938,0.89,97.042,Calm
spotify:track:4hObp5bmIJ3PP3cKA9K9GY,Don't Worry Be Happy,Bobby McFerrin,a cappella,0.675,0.166,0.171,0.747,68.837,Calm
spotify:track:3EWl5Rz5VBovgllQsjbn3M,Superstar,Dami Im,"australian pop,australian talent show,talent show",0.495,0.373,0.0267,0.172,76.91,Calm
spotify:track:2VxeLyX666F8uXCJ0dZF8B,Shallow,"Lady Gaga, Bradley Cooper","art pop,dance pop,pop,hollywood",0.572,0.385,0.0308,0.323,95.799,Calm
spotify:track:150xRZE9rtvEPdedbf3y3l,Life Is Worth Living,Justin Bieber,"canadian pop,pop",0.558,0.296,0.0427,0.463,76.04,Calm
spotify:track:33XpXmKmVTopPKnxTgbVOD,True Colours,Kasey Chambers,"australian americana,australian country,australian rock",0.704,0.247,0.0297,0.236,86.952,Calm
spotify:track:2AX5E86cn9n2dgioZEjirI,Golden Brown,The Stranglers,"glam rock,new romantic,new wave,new wave pop,protopunk,pub rock,zolo",0.562,0.383,0.0304,0.599,93.764,Calm
spotify:track:1uXopyJyRjXsjFtlAXhMd4,Doggin' Around,Jackie Wilson,"chicago soul,classic soul,rock-and-roll,soul",0.568,0.367,0.0256,0.383,94.096,Calm
spotify:track:2VVkqfGIVZdM6j0bDoaMkI,To Be with You - 2010 Remastered Version,Mr. Big,"glam metal,hard rock",0.687,0.375,0.0536,0.45,83.642,Calm
spotify:track:1bgKnEPujoiQzz0pc6gdt7,You Belong To Me,The Duprees,doo-wop,0.322,0.36,0.0273,0.378,97.63,Calm
spotify:track:3AInBEwANMFfwhpUcUechO,The Last Farewell,Roger Whittaker,"classic schlager,easy listening",0.452,0.344,0.0315,0.459,90.101,Calm
spotify:track:64ymP0l9Igq5ME7Qk7tqHa,Just A Little Bit Of Your Heart,Ariana Grande,pop,0.44,0.323,0.0281,0.158,77.988,Calm
spotify:track:1W3kOvOTfSRJgrAgeoUczq,He'll Have to Stay,Jeanne Black,,0.45,0.0843,0.0406,0.36,81.869,Calm
spotify:track:4eHbdreAnSOrDDsFfc4Fpm,I Will Always Love You,Whitney Houston,dance pop,0.332,0.214,0.0349,0.11,67.531,Calm
spotify:track:01rmKkiJU1O67AmzoqGT3o,I Was Only 19 (A Walk in the Light Green) - Live Version,Redgum,australian rock,0.33,0.379,0.0823,0.382,83.671,Calm
spotify:track:2b8fOow8UzyDFAE27YhOZM,Memories,Maroon 5,pop,0.764,0.32,0.0546,0.575,91.019,Calm
spotify:track:47O9n1xan6o1PfCWy2WPWJ,Portrait of My Love,Steve Lawrence,"adult standards,easy listening",0.294,0.255,0.0277,0.282,92.136,Calm
spotify:track:2dThEJP9S344qzNhePcSzj,I'm Gonna Miss You,Milli Vanilli,"freestyle,new jack swing,new wave pop",0.712,0.27,0.0663,0.756,75.645,Calm
spotify:track:5z6a02FGoVsXTrJ4GiVNxE,The Horses,Daryl Braithwaite,"australian pop,australian rock",0.707,0.275,0.0328,0.195,93.988,Calm
spotify:track:57460SJgSpCXaRJ9YIYHxy,Going Up The Country,Canned Heat,"blues,blues rock,classic rock,country rock,electric blues,folk rock,psychedelic rock",0.653,0.239,0.0453,0.765,80.392,Calm
spotify:track:6Q25js1UmXo9I5HZJbZlRM,Stay Awhile,The Bells,classic canadian rock,0.558,0.268,0.0299,0.432,84.559,Calm
spotify:track:2a33x9SW58ztVPPdD9ZSM8,All My Lovin,Johnny Young & Kompany,"Rock, Electronic",0.18,0.313,0.0295,0.315,95.357,Calm
spotify:track:7FgjfoVQ6Wn1Nm53N5Upn8,Crazy Mama,J.J. Cale,"blues,blues rock,folk rock,roots rock,singer-songwriter",0.828,0.0786,0.0418,0.485,96.178,Calm
spotify:track:0gzCo19TZTdiKhNt5LFyi0,Sealed with a Kiss,Jason Donovan,"australian dance,australian pop,new wave pop",0.557,0.364,0.0253,0.589,96.007,Calm
spotify:track:1DZN6RZKbKdiewj3o1WLbL,Could It Be Forever - remastered,David Cassidy,"adult standards,bubblegum pop",0.365,0.295,0.0264,0.341,87.295,Calm
spotify:track:5J1TCBAWhDZ272GLJmxoDY,Eternal Flame,The Bangles,"album rock,jangle pop,mellow gold,new romantic,new wave,new wave pop,paisley underground,singer-songwriter,soft rock",0.518,0.253,0.0245,0.381,78.907,Calm
spotify:track:0g8CHbsID9fZ8eDstzYtHi,Separate Ways,Elvis Presley,"rock-and-roll,rockabilly",0.462,0.371,0.0443,0.506,89.976,Calm
spotify:track:3HZMEIZY9Z6GdhPaG5bAK2,It's Over,Roy Orbison,"adult standards,classic rock,folk rock,mellow gold,rock-and-roll,rockabilly,singer-songwriter",0.462,0.319,0.0255,0.489,89.672,Calm
spotify:track:0mbS3VwRbO6HVBMPXnzOGA,To Love Somebody,Bee Gees,"disco,mellow gold,soft rock",0.423,0.384,0.0315,0.521,90.43,Calm
spotify:track:0HZhYMZOcUzZKSFwPOti6m,Jar of Hearts,Christina Perri,pop,0.349,0.348,0.0316,0.0886,74.541,Calm
spotify:track:4tTf4ZJSJeKYTFwkZ1RLH2,Why Won't You Explain,Karen Knowles,,0.196,0.288,0.0319,0.258,34.999,Calm
spotify:track:6XP7XXKLlBQ2xDib64Hycd,This Time,Troy Shondell,"deep adult standards,doo-wop",0.389,0.36,0.0279,0.439,81.869,Calm
spotify:track:77QeAqSNDpK1DahLOua9S1,And I Love You So,Perry Como,"adult standards,easy listening,lounge",0.417,0.282,0.0262,0.244,91.653,Calm
spotify:track:7iL8UcftjwLe6eosb3pgUH,Send in the Clowns,Judy Collins,"american folk revival,folk,folk rock,mellow gold,singer-songwriter",0.223,0.0497,0.0351,0.1,86.659,Calm
spotify:track:6aRJ3Z7TpCpj58CjOwSSh2,True Colours,Kasey Chambers,"australian americana,australian country,australian rock",0.547,0.22,0.037,0.273,173.756,Focus/Study
spotify:track:7CFQrZR4WeKEg4vweqp8Gv,How Long Will I Love You - Bonus Track,Ellie Goulding,"indietronica,metropopolis,pop,uk pop",0.512,0.304,0.0318,0.172,126.078,Focus/Study
spotify:track:2ORrgw8M0ZbrFlm5cpaKCv,True Colors,"Anna Kendrick, Justin Timberlake","hollywood,dance pop,pop",0.29,0.261,0.0277,0.0999,143.598,Focus/Study
spotify:track:0JKaYO3e4sKgkshtuFqzqB,Chariots Of Fire,Vangelis,"cyberpunk,synthesizer",0.471,0.379,0.0336,0.051,136.343,Focus/Study
spotify:track:1VHVB3N84lUqYdBmq7dNbL,Johnny Angel,Shelley Fabares,"brill building pop,doo-wop",0.402,0.37,0.0331,0.761,107.144,Focus/Study
spotify:track:0bQjfM1zYkSqIOsS3q5TEg,Bright Eyes,Art Garfunkel,"folk,folk rock,mellow gold,soft rock",0.378,0.153,0.0331,0.249,112.501,Focus/Study
spotify:track:5z3ZDMP02xF33yCvPFnct3,Don't Know Much (with Aaron Neville),"Linda Ronstadt, Aaron Neville","country rock,folk,folk rock,heartland rock,mellow gold,singer-songwriter,soft rock",0.401,0.285,0.0327,0.267,130.465,Focus/Study
spotify:track:0CmIALzGn4vHIHJG4n3Q4z,At Last - Single Version,Etta James,"jazz blues,soul,soul blues,torch song,vocal jazz",0.168,0.326,0.0324,0.322,174.794,Focus/Study
spotify:track:52FZW6u4BM9e1Kh4bewek3,Sad Lisa,Yusuf / Cat Stevens,"british folk,classic rock,folk,folk rock,mellow gold,singer-songwriter",0.572,0.197,0.0324,0.388,112.338,Focus/Study
spotify:track:1x3W8RZxW94lrVGhP95qA6,You Are The Reason - Duet Version,"Calum Scott, Leona Lewis","pop,british soul,dance pop,pop,talent show",0.403,0.356,0.0298,0.151,171.454,Focus/Study
spotify:track:3ksNHUNCTP6Pan8rjFnmtw,Never Worn White,Katy Perry,pop,0.544,0.353,0.0303,0.357,138.059,Focus/Study
spotify:track:7AMiYpjoofNamiXsAG6mDi,What Have You Done For Me Lately,Janet Jackson,"dance pop,r&b,urban contemporary",0.841,0.376,0.0686,0.823,114.039,Focus/Study
spotify:track:1uZ4bE4uiUbpdkTFT7BhZB,Stand Up For Love (2005 World Children's Day Anthem) - Radio Edit,Destiny's Child,"dance pop,girl group,pop,r&b,urban contemporary",0.385,0.382,0.0407,0.149,103.841,Focus/Study
spotify:track:5fs6uHSuhtfrYTyfp4uJzv,Can We Fix It? (Opening Theme),Bob The Builder,"british children's music,cartoon",0.697,0.37,0.0443,0.899,140.047,Focus/Study
spotify:track:5O3eNPhckrOCxIBtR5SQLN,Hey There Delilah,Plain White T's,"modern rock,neo mellow,neon pop punk,pop punk,pop rock",0.655,0.296,0.0282,0.31,103.981,Focus/Study
spotify:track:3nPuiyquRnUIiJ87VFNHEt,We've Got Tonight,"Lulu, Ronan Keating","british invasion,europop",0.606,0.28,0.0301,0.198,123.631,Focus/Study
spotify:track:4f9IfFvBFm7Gsf1IVEudyf,lie to me,"Tate McRae, Ali Gatie","alt z,pop,canadian hip hop",0.642,0.392,0.0372,0.0479,138.065,Focus/Study
spotify:track:1kpbM1hlD3sQ2rDKbe2guE,Regardless,"Jarryd James, Julia Stone","australian alternative pop,australian r&b,australian singer-songwriter",0.672,0.393,0.0477,0.319,130.086,Focus/Study
spotify:track:6ckVhQnKxHMyeC70f7sOS2,Rubber Ball - (1990 - Remastered),Bobby Vee,"adult standards,brill building pop,doo-wop,rock-and-roll,rockabilly",0.406,0.361,0.0363,0.837,143.05,Focus/Study
spotify:track:3DUcaEvPO72PijivCjtZcU,Candle In The Wind 1997,Elton John,"glam rock,mellow gold,piano rock,rock",0.45,0.311,0.0314,0.367,125.648,Focus/Study
spotify:track:2u3K5ImL5pQOsjYH8sszUG,Hard To Say I'm Sorry (feat. Peter Cetera),"Az Yet, Peter Cetera","contemporary r&b,soft rock",0.544,0.389,0.036,0.226,127.87,Focus/Study
spotify:track:05pKAafT85jeeNhZ6kq7HT,I Won't Give Up,Jason Mraz,"acoustic pop,dance pop,neo mellow,pop",0.585,0.303,0.0398,0.142,136.703,Focus/Study
spotify:track:4FCb4CUbFCMNRkI6lYc1zI,Hero,Mariah Carey,"dance pop,pop,urban contemporary",0.501,0.378,0.029,0.178,119.987,Focus/Study
spotify:track:02WacdrRpm4zlP8H7X6bnQ,Dancing On My Own,Calum Scott,pop,0.608,0.174,0.0332,0.193,112.175,Focus/Study
spotify:track:3msjvrkCvIzUNJHULcAafN,A Walk In The Black Forest,Horst Jankowski,"easy listening,space age pop",0.701,0.38,0.0294,0.783,106.284,Focus/Study
spotify:track:29Ns3avs48iQhNQgrHMEkm,"See You Again, Love Me Like You Do, Sugar - Acoustic Mashup",Megan Davies,acoustic cover,0.393,0.207,0.0392,0.262,163.99,Focus/Study
spotify:track:2Eus7YYmEzWjvyfowbRhsg,Song for Anna,"Herb Ohta\, Sr.","jazz, pop music",0.568,0.348,0.0744,0.977,100.304,Focus/Study
spotify:track:5kWk5QBbhqGLoK3fOlCvA8,So Sad (To Watch Good Love Go Bad) - 2007 Remaster,The Everly Brothers,"adult standards,folk rock,mellow gold,rock-and-roll,rockabilly,sunshine pop",0.545,0.197,0.0285,0.338,102.229,Focus/Study
spotify:track:3XAiXl3dKpG7b0qcrCtBD4,So Long,Fischer-Z,zolo,0.556,0.384,0.0407,0.891,126.841,Focus/Study
spotify:track:0TjOyjjHJb9WmyUQlq1F12,You Can Get It If You Really Want,Desmond Dekker,"jamaican ska,reggae,rocksteady,ska,ska revival",0.797,0.388,0.0557,0.756,128.529,Focus/Study
spotify:track:0IvHltq1M8zaUayrMgoajw,Sweet Sixteen,Billy Idol,"album rock,classic rock,dance rock,hard rock,new romantic,new wave,new wave pop,rock,soft rock",0.584,0.372,0.0332,0.785,156.282,Focus/Study
spotify:track:2UieC7GlIwUsz26jY8in0Q,Come to This,Natalie Taylor,,0.31,0.315,0.03,0.131,127.851,Focus/Study
spotify:track:5ivF4eQBqJiVL5IAE9jRyl,I Won't Give Up,Jason Mraz,"acoustic pop,dance pop,neo mellow,pop",0.483,0.303,0.0429,0.139,133.406,Focus/Study
spotify:track:7fWSIddv6LJG8ZXJFNVQyi,Nothing Really Matters,Mr. Probz,pop dance,0.404,0.225,0.0363,0.275,135.075,Focus/Study
spotify:track:3mlMpmY8oZIBFc39D9zLbh,The Long And Winding Road - Remastered 2009,The Beatles,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock",0.299,0.329,0.0279,0.392,132.282,Focus/Study
spotify:track:0gplL1WMoJ6iYaPgMCL0gX,Easy On Me,Adele,"british soul,pop,pop soul,uk pop",0.604,0.366,0.0282,0.13,141.981,Focus/Study
spotify:track:4LFwNJWoj74Yd71fIr1W8x,Right Here Waiting,Richard Marx,"new wave pop,soft rock",0.395,0.252,0.0301,0.126,177.679,Focus/Study
spotify:track:4P9kOK2PafbamK95SJOCbO,You're in My Heart (The Final Acclaim),Rod Stewart,"mellow gold,soft rock",0.554,0.293,0.0341,0.354,103.293,Focus/Study
spotify:track:1Eb4PqQq7mRiANziMK6f45,Garden Party,"Ricky Nelson, The Stone Canyon Band","adult standards,doo-wop,rock-and-roll,rockabilly",0.78,0.37,0.0788,0.815,144.036,Focus/Study
spotify:track:3U4isOIWM3VvDubwSI3y7a,All of Me,John Legend,"neo soul,pop,pop soul,urban contemporary",0.422,0.264,0.0322,0.331,119.93,Focus/Study
spotify:track:68IngNKFxLJQZvTyzYIKIg,"Gee Whiz, Look at His Eyes",Carla Thomas,"memphis soul,soul,southern soul",0.228,0.358,0.0306,0.324,179.652,Focus/Study
spotify:track:3kg05HyeoiSfxuEoyQa0xk,All I Ask,Chase Martin,country,0.422,0.318,0.0303,0.305,140.689,Focus/Study
spotify:track:73JqQIGZUZxCVfY54RSpCH,With A Little Luck - Remastered 1993,Wings,"album rock,beatlesque,classic rock,folk rock,heartland rock,mellow gold,rock,singer-songwriter,soft rock",0.652,0.372,0.0321,0.283,111.984,Focus/Study
spotify:track:1eUtfbmI6Qq7Oj6okQ2ktT,Scarborough Fair / Canticle,Simon & Garfunkel,"classic rock,folk,folk rock,melancholia,mellow gold,rock,soft rock",0.356,0.261,0.0315,0.279,128.551,Focus/Study
spotify:track:2BOqDYLOJBiMOXShCV1neZ,Dancing On My Own,Calum Scott,pop,0.681,0.174,0.0315,0.231,112.672,Focus/Study
spotify:track:1z9UHExy0G7m4PwD72TZLi,Because I Love You,The Master's Apprentices,australian rock,0.386,0.295,0.0339,0.389,151.209,Focus/Study
spotify:track:2xpGRGcqQjNdmgkwzH0k4z,I Told the Brook,Billy Thorpe & The Aztecs,australian rock,0.553,0.194,0.0313,0.355,106.575,Focus/Study
spotify:track:1qCQTy0fTXerET4x8VHyr9,What A Wonderful World,Louis Armstrong,"adult standards,dixieland,harlem renaissance,jazz trumpet,new orleans jazz,soul,swing,vocal jazz",0.399,0.258,0.033,0.192,108.174,Focus/Study
spotify:track:2w4EpqGasrz9qdTwocx54t,Open Arms,Journey,"album rock,classic rock,hard rock,heartland rock,mellow gold,rock,soft rock",0.405,0.21,0.0279,0.174,100.577,Focus/Study
spotify:track:3jHCXrZNz8fQEEf4BpWCAj,Purpose,Justin Bieber,"canadian pop,pop",0.481,0.285,0.0424,0.316,130.029,Focus/Study
spotify:track:0SxFyA4FqmEQqZVuAlg8lf,The First Time Ever I Saw Your Face,Roberta Flack,"adult standards,disco,quiet storm,soft rock,soul,vocal jazz",0.311,0.0264,0.037,0.139,120.653,Focus/Study
spotify:track:1PZ5mBtpRXZj8aMgQQYcro,Deep End,Birdy,"neo mellow,uk pop",0.455,0.296,0.0399,0.31,171.744,Focus/Study
spotify:track:2fLiCh9Fo9yloiB1NlqSgP,Help,John Farnham,"australian pop,australian rock",0.432,0.334,0.0337,0.165,117.272,Focus/Study
